序号,原始地址,归一化地址,规范地址,大區,地區,地區(上级),街道,屋苑,期,座,未识别片段,解析置信度,是否bad case,最高严重度,命中规则数,命中规则,问题描述,建议处理,重复组
1,馬鞍山翠擁華庭第9座,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,馬鞍山",,馬鞍山,,,翠擁華庭,,第9座,,低,是,一般,5,F006;C001;C004;A005;D001,"[C001·一般]缺少大區(九龍/新界/港島)(地區「馬鞍山」已知, 大區可反查补全) [C004·一般]缺少街道 [A005·一般]结构解析置信度低 [D001·一般]与其他记录原文完全重复(与第 2 条重复) [F006·轻微]无分隔符连写, 依赖模糊切分","补全大區; 地區已知时可反查补全; 补全街道, 便于地图匹配; 补分隔符后重跑解析; 去重, 保留一条; 按 座,屋苑,街道,地區,大區 补分隔符",R01
2,馬鞍山翠擁華庭第9座,馬鞍山翠擁華庭第9座,"第9座,翠擁華庭,馬鞍山",,馬鞍山,,,翠擁華庭,,第9座,,低,是,一般,5,F006;C001;C004;A005;D001,"[C001·一般]缺少大區(九龍/新界/港島)(地區「馬鞍山」已知, 大區可反查补全) [C004·一般]缺少街道 [A005·一般]结构解析置信度低 [D001·一般]与其他记录原文完全重复(与第 1 条重复) [F006·轻微]无分隔符连写, 依赖模糊切分","补全大區; 地區已知时可反查补全; 补全街道, 便于地图匹配; 补分隔符后重跑解析; 去重, 保留一条; 按 座,屋苑,街道,地區,大區 补分隔符",R01
3,沙田大圍美城苑貴城閣,沙田大圍美城苑貴城閣,"貴城閣,美城苑,大圍,沙田",,大圍,沙田,,美城苑,,貴城閣,,低,是,一般,4,F006;C001;C004;A005,"[C001·一般]缺少大區(九龍/新界/港島)(地區「大圍」已知, 大區可反查补全) [C004·一般]缺少街道 [A005·一般]结构解析置信度低 [F006·轻微]无分隔符连写, 依赖模糊切分","补全大區; 地區已知时可反查补全; 补全街道, 便于地图匹配; 补分隔符后重跑解析; 按 座,屋苑,街道,地區,大區 补分隔符",-
4,沙田第一城第一座,沙田第一城第一座,"第一座,第一城,沙田",,沙田,,,第一城,,第一座,,低,是,一般,4,F006;C001;C004;A005,"[C001·一般]缺少大區(九龍/新界/港島)(地區「沙田」已知, 大區可反查补全) [C004·一般]缺少街道 [A005·一般]结构解析置信度低 [F006·轻微]无分隔符连写, 依赖模糊切分","补全大區; 地區已知时可反查补全; 补全街道, 便于地图匹配; 补分隔符后重跑解析; 按 座,屋苑,街道,地區,大區 补分隔符",-
5,"康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍",九龍,觀塘,,康寧道,康寧間,,,,高,是,严重,3,A002;C005;D001,"[A002·严重]疑似形近错别字(「康寧間」疑为「康寧閣」) [C005·一般]缺少座/期号 [D001·一般]与其他记录原文完全重复(与第 6,7 条重复)","核实用字后修正; 确认是整个屋苑还是漏填座号; 去重, 保留一条",R05
6,"康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍",九龍,觀塘,,康寧道,康寧間,,,,高,是,严重,3,A002;C005;D001,"[A002·严重]疑似形近错别字(「康寧間」疑为「康寧閣」) [C005·一般]缺少座/期号 [D001·一般]与其他记录原文完全重复(与第 5,7 条重复)","核实用字后修正; 确认是整个屋苑还是漏填座号; 去重, 保留一条",R05
7,"康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍","康寧間,康寧道,觀塘,九龍",九龍,觀塘,,康寧道,康寧間,,,,高,是,严重,3,A002;C005;D001,"[A002·严重]疑似形近错别字(「康寧間」疑为「康寧閣」) [C005·一般]缺少座/期号 [D001·一般]与其他记录原文完全重复(与第 5,6 条重复)","核实用字后修正; 确认是整个屋苑还是漏填座号; 去重, 保留一条",R05
8,愉澤閣,愉澤閣,愉澤閣,,,,,愉澤閣,,,,低,是,严重,7,C001;C002;C004;C005;A005;D003;A006,"[C001·严重]缺少大區(九龍/新界/港島) [C002·严重]缺少地區 [C004·一般]缺少街道 [C005·一般]缺少座/期号 [A005·一般]结构解析置信度低 [D003·一般]同一楼宇存在详略两种写法(与第 9 条同楼宇, 建议统一为「愉澤閣,愉田苑,銀城街,沙田,新界」) [A006·一般]可依据同批数据中的同族记录补全(同族参考第 9 条, 建议补全为「愉澤閣,愉田苑,銀城街,沙田,新界」)","补全大區; 地區已知时可反查补全; 补全地區; 补全街道, 便于地图匹配; 确认是整个屋苑还是漏填座号; 补分隔符后重跑解析; 统一采用信息最全的写法; 按同族记录补全屋苑/街道/地區/大區",S08
9,"愉澤閣,愉田苑,銀城街,沙田,新界","愉澤閣,愉田苑,銀城街,沙田,新界","愉澤閣,愉田苑,銀城街,沙田,新界",新界,沙田,,銀城街,愉田苑,,愉澤閣,,高,是,一般,1,D001,[D001·一般]与其他记录原文完全重复(与第 10 条重复),"去重, 保留一条",R09
10,"愉澤閣,愉田苑,銀城街,沙田,新界","愉澤閣,愉田苑,銀城街,沙田,新界","愉澤閣,愉田苑,銀城街,沙田,新界",新界,沙田,,銀城街,愉田苑,,愉澤閣,,高,是,一般,1,D001,[D001·一般]与其他记录原文完全重复(与第 9 条重复),"去重, 保留一条",R09
11,愉和閣,愉和閣,愉和閣,,,,,愉和閣,,,,低,是,严重,6,C001;C002;C004;C005;A005;A006,"[C001·严重]缺少大區(九龍/新界/港島) [C002·严重]缺少地區 [C004·一般]缺少街道 [C005·一般]缺少座/期号 [A005·一般]结构解析置信度低 [A006·一般]可依据同批数据中的同族记录补全(同族参考第 9 条, 建议补全为「愉和閣,愉田苑,銀城街,沙田,新界」)","补全大區; 地區已知时可反查补全; 补全地區; 补全街道, 便于地图匹配; 确认是整个屋苑还是漏填座号; 补分隔符后重跑解析; 按同族记录补全屋苑/街道/地區/大區",-
12,愉悅閣,愉悅閣,愉悅閣,,,,,愉悅閣,,,,低,是,严重,6,C001;C002;C004;C005;A005;A006,"[C001·严重]缺少大區(九龍/新界/港島) [C002·严重]缺少地區 [C004·一般]缺少街道 [C005·一般]缺少座/期号 [A005·一般]结构解析置信度低 [A006·一般]可依据同批数据中的同族记录补全(同族参考第 9 条, 建议补全为「愉悅閣,愉田苑,銀城街,沙田,新界」)","补全大區; 地區已知时可反查补全; 补全地區; 补全街道, 便于地图匹配; 确认是整个屋苑还是漏填座号; 补分隔符后重跑解析; 按同族记录补全屋苑/街道/地區/大區",-
13,愉健閣,愉健閣,愉健閣,,,,,愉健閣,,,,低,是,严重,6,C001;C002;C004;C005;A005;A006,"[C001·严重]缺少大區(九龍/新界/港島) [C002·严重]缺少地區 [C004·一般]缺少街道 [C005·一般]缺少座/期号 [A005·一般]结构解析置信度低 [A006·一般]可依据同批数据中的同族记录补全(同族参考第 9 条, 建议补全为「愉健閣,愉田苑,銀城街,沙田,新界」)","补全大區; 地區已知时可反查补全; 补全地區; 补全街道, 便于地图匹配; 确认是整个屋苑还是漏填座号; 补分隔符后重跑解析; 按同族记录补全屋苑/街道/地區/大區",-
14,愉群閣,愉群閣,愉群閣,,,,,愉群閣,,,,低,是,严重,6,C001;C002;C004;C005;A005;A006,"[C001·严重]缺少大區(九龍/新界/港島) [C002·严重]缺少地區 [C004·一般]缺少街道 [C005·一般]缺少座/期号 [A005·一般]结构解析置信度低 [A006·一般]可依据同批数据中的同族记录补全(同族参考第 9 条, 建议补全为「愉群閣,愉田苑,銀城街,沙田,新界」)","补全大區; 地區已知时可反查补全; 补全地區; 补全街道, 便于地图匹配; 确认是整个屋苑还是漏填座号; 补分隔符后重跑解析; 按同族记录补全屋苑/街道/地區/大區",-
15,愉逸閣,愉逸閣,愉逸閣,,,,,愉逸閣,,,,低,是,严重,6,C001;C002;C004;C005;A005;A006,"[C001·严重]缺少大區(九龍/新界/港島) [C002·严重]缺少地區 [C004·一般]缺少街道 [C005·一般]缺少座/期号 [A005·一般]结构解析置信度低 [A006·一般]可依据同批数据中的同族记录补全(同族参考第 9 条, 建议补全为「愉逸閣,愉田苑,銀城街,沙田,新界」)","补全大區; 地區已知时可反查补全; 补全地區; 补全街道, 便于地图匹配; 确认是整个屋苑还是漏填座号; 补分隔符后重跑解析; 按同族记录补全屋苑/街道/地區/大區",-
16,愉瑞閣,愉瑞閣,愉瑞閣,,,,,愉瑞閣,,,,低,是,严重,6,C001;C002;C004;C005;A005;A006,"[C001·严重]缺少大區(九龍/新界/港島) [C002·严重]缺少地區 [C004·一般]缺少街道 [C005·一般]缺少座/期号 [A005·一般]结构解析置信度低 [A006·一般]可依据同批数据中的同族记录补全(同族参考第 9 条, 建议补全为「愉瑞閣,愉田苑,銀城街,沙田,新界」)","补全大區; 地區已知时可反查补全; 补全地區; 补全街道, 便于地图匹配; 确认是整个屋苑还是漏填座号; 补分隔符后重跑解析; 按同族记录补全屋苑/街道/地區/大區",-
17,慶盛閣，穗禾苑，穗禾路，沙田，新界,"慶盛閣,穗禾苑,穗禾路,沙田,新界","慶盛閣,穗禾苑,穗禾路,沙田,新界",新界,沙田,,穗禾路,穗禾苑,,慶盛閣,,高,是,一般,2,F001;D001,[D001·一般]与其他记录原文完全重复(与第 18 条重复) [F001·轻微]使用全角标点分隔,"去重, 保留一条; 统一替换为半角逗号",R17
